"age","sex","province","education","religion","income_before_tax","vote_liberal","vote_conservative"
22,"Female","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,0
28,"Female","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",0,0
65,"Male","British Columbia","Some Education","NO","Middle Class",0,1
54,"Male","Manitoba","Some Education","NO","Middle Class",1,0
36,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",0,0
77,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",1,0
72,"Male","British Columbia","Some Education","NO","Upper Middle Class to Wealthy",0,0
81,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",NA,NA
60,"Male","Alberta","Highly Educated","YES","Lower Middle Class to Poor",NA,NA
66,"Male","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor",NA,NA
63,"Female","British Columbia","Some Education","NO","Middle Class",1,0
33,"Male","Alberta","Some Education","YES","Middle Class",0,0
26,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA
49,"Female","British Columbia","Highly Educated","NO","Middle Class",NA,NA
43,"Male","British Columbia","Highly Educated","YES","Middle Class",0,0
56,"Female","Alberta","Highly Educated","NO","Lower Middle Class to Poor",NA,NA
72,"Male","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,1
69,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
69,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA
64,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA
64,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",1,0
53,"Female","British Columbia","Some Education","YES","Middle Class",0,0
75,"Female","British Columbia","Highly Educated","NO","Middle Class",0,1
69,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",1,0
77,"Male","British Columbia","Some Education","YES","Middle Class",NA,NA
68,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
69,"Female","New Brunswick","Some Education","NO","Lower Middle Class to Poor",1,0
56,"Female","Alberta","Highly Educated","YES","Middle Class",0,0
52,"Female","New Brunswick","Some Education","YES","Middle Class",1,0
68,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
66,"Male","British Columbia","Some Education","YES","Middle Class",1,0
52,"Female","Manitoba","Highly Educated","YES","Middle Class",1,0
60,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
73,"Male","British Columbia","Some Education","YES","Middle Class",0,0
72,"Male","British Columbia","Some Education","YES","Middle Class",NA,NA
63,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",0,0
41,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1
38,"Female","New Brunswick","Some Education","NO","Lower Middle Class to Poor",NA,NA
65,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA
33,"Male","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA
62,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0
43,"Female","Alberta","Some Education","NO","Middle Class",0,0
50,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
37,"Male","Manitoba","Some Education","NO","Upper Middle Class to Wealthy",1,0
65,"Female","Alberta","Some Education","YES","Middle Class",0,1
28,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
39,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0
50,"Male","British Columbia","Highly Educated","YES","Middle Class",1,0
