"age","sex","province","education","religion","income_before_tax","vote_liberal","vote_conservative","vote_ndp"
57,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
22,"Female","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,0,1
28,"Female","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,0
29,"Male","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
41,"Female","Quebec","Some Education","YES","Middle Class",0,0,1
63,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
52,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
66,"Male","Quebec","Some Education","NO","Middle Class",0,1,0
42,"Male","Quebec","Some Education","NO","Middle Class",NA,NA,NA
92,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
33,"Male","Ontario","Some Education","NO","Upper Middle Class to Wealthy",NA,NA,NA
48,"Female","Ontario","Some Education","NO","Middle Class",0,0,1
65,"Male","British Columbia","Some Education","NO","Middle Class",0,1,0
66,"Female","Ontario","Limited Education","NO","Lower Middle Class to Poor",0,0,0
54,"Male","Manitoba","Some Education","NO","Middle Class",1,0,0
68,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
44,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
31,"Female","Ontario","Some Education","NO","Lower Middle Class to Poor",0,0,1
29,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
38,"Male","Quebec","Highly Educated","YES","Middle Class",0,0,1
45,"Female","Quebec","Some Education","NO","Middle Class",0,0,0
58,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
64,"Male","Quebec","Some Education","YES","Middle Class",0,1,0
77,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
36,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",0,0,0
77,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
62,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
78,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
72,"Female","British Columbia","Some Education","NO","Upper Middle Class to Wealthy",0,0,1
81,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
24,"Female","Quebec","Some Education","YES","Middle Class",0,1,0
64,"Female","Quebec","Some Education","NO","Middle Class",1,0,0
46,"Female","Ontario","Some Education","NO","Upper Middle Class to Wealthy",NA,NA,NA
60,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
40,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
60,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
59,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
66,"Female","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
28,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
72,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
56,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
22,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
63,"Female","British Columbia","Some Education","NO","Middle Class",1,0,0
25,"Male","Ontario","Some Education","NO","Middle Class",NA,NA,NA
78,"Female","Ontario","Some Education","YES","Middle Class",0,1,0
49,"Female","Ontario","Some Education","NO","Middle Class",1,0,0
30,"Male","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
48,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
69,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
31,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
33,"Male","Alberta","Some Education","YES","Middle Class",0,0,1
24,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,1
53,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
26,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
34,"Female","Saskatchewan","Highly Educated","YES","Middle Class",NA,NA,NA
49,"Female","British Columbia","Highly Educated","NO","Middle Class",NA,NA,NA
30,"Female","Saskatchewan","Some Education","NO","Middle Class",0,0,1
31,"Male","Quebec","Highly Educated","NO","Lower Middle Class to Poor",0,0,0
33,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor",0,1,0
43,"Female","British Columbia","Highly Educated","YES","Middle Class",0,0,0
56,"Male","Alberta","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
30,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
72,"Female","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
34,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,1
69,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
69,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
76,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
38,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
60,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor",0,1,0
64,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
41,"Female","Quebec","Some Education","YES","Middle Class",1,0,0
59,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
69,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
64,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",1,0,0
40,"Male","Quebec","Highly Educated","YES","Middle Class",0,0,0
53,"Female","British Columbia","Some Education","YES","Middle Class",0,0,1
75,"Female","British Columbia","Highly Educated","NO","Middle Class",0,1,0
69,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",1,0,0
76,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
77,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA,NA
66,"Female","Quebec","Some Education","NO","Upper Middle Class to Wealthy",0,0,0
36,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
29,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
80,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,1
68,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1,0
27,"Female","Ontario","Highly Educated","YES","Middle Class",0,0,1
28,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,1
47,"Female","Quebec","Some Education","NO","Middle Class",NA,NA,NA
69,"Male","New Brunswick","Some Education","NO","Lower Middle Class to Poor",1,0,0
66,"Male","Quebec","Some Education","NO","Middle Class",0,1,0
56,"Female","Alberta","Highly Educated","YES","Middle Class",0,0,0
35,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
22,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,1
82,"Female","Quebec","Some Education","YES","Middle Class",1,0,0
52,"Female","New Brunswick","Some Education","YES","Middle Class",1,0,0
