"age","sex","province","education","religion","income_before_tax","vote_liberal","vote_conservative"
22,"Female","British Columbia","Some Education","YES","Upper Class",0,0
28,"Male","British Columbia","High Education","NO","Upper Class",0,0
29,"Male","Quebec","High Education","YES","Middle Class",NA,NA
52,"Male","Quebec","High Education","YES","Upper Class",0,0
92,"Male","Quebec","Some Education","YES","Lower Class",NA,NA
33,"Male","Quebec","Some Education","NO","Upper Class",NA,NA
48,"Male","Quebec","Some Education","NO","Middle Class",0,0
65,"Male","British Columbia","Some Education","NO","Middle Class",0,1
66,"Female","Quebec","Low Education","NO","Lower Class",0,0
54,"Male","Manitoba","Some Education","NO","Middle Class",1,0
31,"Male","Quebec","Some Education","NO","Lower Class",0,0
29,"Female","Quebec","High Education","YES","Upper Class",0,0
58,"Male","Quebec","Some Education","YES","Upper Class",1,0
77,"Female","Quebec","Some Education","YES","Lower Class",1,0
36,"Female","British Columbia","High Education","NO","Lower Class",0,0
77,"Female","British Columbia","High Education","YES","Lower Class",1,0
62,"Male","Quebec","High Education","YES","Upper Class",1,0
72,"Female","British Columbia","Some Education","NO","Upper Class",0,0
81,"Male","British Columbia","High Education","NO","Lower Class",NA,NA
46,"Male","Quebec","Some Education","NO","Upper Class",NA,NA
60,"Male","Alberta","High Education","YES","Lower Class",NA,NA
40,"Female","Quebec","Some Education","YES","Lower Class",1,0
60,"Male","Quebec","Some Education","YES","Lower Class",NA,NA
59,"Female","Quebec","Some Education","YES","Upper Class",1,0
66,"Female","Newfoundland and Labrador","Some Education","YES","Lower Class",NA,NA
28,"Male","Quebec","High Education","NO","Upper Class",NA,NA
22,"Female","Quebec","High Education","YES","Lower Class",1,0
63,"Female","British Columbia","Some Education","NO","Middle Class",1,0
25,"Female","Quebec","Some Education","NO","Middle Class",NA,NA
78,"Female","Quebec","Some Education","YES","Middle Class",0,1
49,"Female","Quebec","Some Education","NO","Middle Class",1,0
30,"Female","Quebec","High Education","YES","Middle Class",NA,NA
69,"Female","Quebec","Some Education","YES","Middle Class",0,0
33,"Female","Alberta","Some Education","YES","Middle Class",0,0
24,"Female","Quebec","High Education","YES","Lower Class",0,0
53,"Male","Quebec","High Education","YES","Upper Class",1,0
26,"Male","British Columbia","High Education","YES","Lower Class",NA,NA
49,"Male","British Columbia","High Education","NO","Middle Class",NA,NA
33,"Female","Quebec","High Education","NO","Lower Class",0,1
43,"Male","British Columbia","High Education","YES","Middle Class",0,0
56,"Female","Alberta","High Education","NO","Lower Class",NA,NA
30,"Female","Quebec","Some Education","YES","Upper Class",0,1
72,"Male","British Columbia","Some Education","YES","Upper Class",0,1
69,"Female","Alberta","Some Education","YES","Lower Class",NA,NA
69,"Female","Manitoba","Some Education","YES","Lower Class",NA,NA
76,"Female","Quebec","Some Education","YES","Lower Class",NA,NA
60,"Male","Ontario","Some Education","YES","Lower Class",0,1
64,"Female","Manitoba","Some Education","YES","Lower Class",NA,NA
59,"Female","Quebec","High Education","YES","Lower Class",NA,NA
69,"Male","Quebec","Some Education","YES","Upper Class",NA,NA
64,"Male","Alberta","Some Education","NO","Lower Class",1,0
53,"Female","British Columbia","Some Education","YES","Middle Class",0,0
75,"Female","British Columbia","High Education","NO","Middle Class",0,1
69,"Male","Manitoba","Some Education","YES","Lower Class",1,0
76,"Male","Quebec","High Education","NO","Upper Class",NA,NA
77,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA
36,"Female","Quebec","High Education","NO","Upper Class",0,0
80,"Female","Quebec","Some Education","YES","Lower Class",0,0
68,"Male","Alberta","Some Education","YES","Lower Class",0,1
27,"Male","Quebec","High Education","YES","Middle Class",0,0
28,"Female","Quebec","High Education","YES","Lower Class",0,0
69,"Female","New Brunswick","Some Education","NO","Lower Class",1,0
56,"Male","Alberta","High Education","YES","Middle Class",0,0
22,"Female","Quebec","Some Education","YES","Lower Class",0,0
52,"Female","New Brunswick","Some Education","YES","Middle Class",1,0
32,"Male","Quebec","Some Education","YES","Lower Class",0,0
68,"Female","Alberta","Some Education","YES","Lower Class",NA,NA
77,"Male","Quebec","High Education","NO","Middle Class",0,1
64,"Male","Quebec","High Education","YES","Middle Class",0,1
66,"Female","British Columbia","Some Education","YES","Middle Class",1,0
52,"Female","Manitoba","High Education","YES","Middle Class",1,0
60,"Female","Alberta","Some Education","YES","Lower Class",0,1
73,"Male","British Columbia","Some Education","YES","Middle Class",0,0
18,"Male","Quebec","Some Education","NO","Middle Class",0,0
79,"Male","Quebec","High Education","YES","Middle Class",NA,NA
72,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA
43,"Male","Quebec","High Education","YES","Middle Class",0,1
63,"Female","New Brunswick","Some Education","YES","Lower Class",0,0
41,"Male","British Columbia","Some Education","YES","Lower Class",0,1
38,"Female","New Brunswick","Some Education","NO","Lower Class",NA,NA
58,"Male","Quebec","Some Education","YES","Upper Class",0,1
29,"Male","Quebec","High Education","YES","Middle Class",0,0
38,"Female","Quebec","High Education","NO","Upper Class",1,0
78,"Male","Quebec","High Education","YES","Upper Class",0,0
24,"Female","Quebec","High Education","YES","Middle Class",1,0
65,"Female","British Columbia","Some Education","YES","Lower Class",NA,NA
33,"Female","Alberta","High Education","YES","Upper Class",NA,NA
38,"Male","Quebec","High Education","YES","Middle Class",NA,NA
62,"Male","Alberta","Some Education","YES","Lower Class",0,0
69,"Male","Quebec","Some Education","YES","Lower Class",0,1
44,"Male","Quebec","High Education","YES","Upper Class",0,1
41,"Female","Quebec","Some Education","YES","Lower Class",NA,NA
59,"Female","Quebec","Some Education","YES","Lower Class",1,0
43,"Female","Alberta","Some Education","NO","Middle Class",0,0
59,"Male","Quebec","Some Education","YES","Lower Class",NA,NA
50,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
61,"Female","Quebec","Some Education","YES","Middle Class",1,0
47,"Female","Quebec","Some Education","NO","Middle Class",0,1
37,"Male","Manitoba","Some Education","NO","Upper Class",1,0
58,"Male","Quebec","High Education","NO","Upper Class",0,1
65,"Female","Alberta","Some Education","YES","Middle Class",0,1
88,"Female","Quebec","High Education","NO","Middle Class",0,1
28,"Male","British Columbia","Some Education","NO","Lower Class",0,0
19,"Female","Quebec","Some Education","YES","Lower Class",NA,NA
39,"Female","British Columbia","High Education","NO","Middle Class",0,0
56,"Female","Quebec","Some Education","YES","Upper Class",NA,NA
50,"Female","British Columbia","High Education","YES","Middle Class",1,0
21,"Male","Quebec","Some Education","NO","Middle Class",0,0
24,"Female","Alberta","Some Education","YES","Middle Class",0,1
55,"Male","Quebec","Some Education","YES","Middle Class",0,0
53,"Male","British Columbia","High Education","NO","Lower Class",NA,NA
51,"Male","Alberta","High Education","YES","Middle Class",NA,NA
25,"Male","Alberta","High Education","NO","Middle Class",0,1
43,"Female","Quebec","High Education","YES","Upper Class",0,1
