"age","sex","province","education","religion","income_before_tax"
53,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
51,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor"
64,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
80,"Female","Alberta","Some Education","YES","Middle Class"
28,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
63,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
59,"Female","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
64,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
25,"Male","Saskatchewan","Limited Education","YES","Lower Middle Class to Poor"
16,"Male","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
40,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor"
57,"Female","Prince Edward Island","Some Education","YES","Lower Middle Class to Poor"
27,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
67,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
31,"Female","British Columbia","Highly Educated","NO","Lower Middle Class to Poor"
69,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy"
34,"Female","British Columbia","Highly Educated","YES","Middle Class"
73,"Male","Quebec","Highly Educated","YES","Middle Class"
39,"Male","New Brunswick","Highly Educated","NO","Middle Class"
65,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
26,"Male","Manitoba",NA,"NO","Lower Middle Class to Poor"
49,"Male","British Columbia","Highly Educated","NO","Middle Class"
16,"Male","Saskatchewan","Limited Education","NO","Lower Middle Class to Poor"
64,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
78,"Male","Ontario","Highly Educated","NO","Middle Class"
31,"Female","Ontario",NA,"NO",NA
19,"Female","Saskatchewan","Limited Education","NO","Lower Middle Class to Poor"
41,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
44,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor"
41,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
80,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
17,"Male","Alberta","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
71,"Male","Ontario","Some Education","YES","Middle Class"
72,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
30,"Male","British Columbia","Highly Educated","NO","Middle Class"
75,"Female","Ontario",NA,"YES","Middle Class"
19,"Male","Alberta","Limited Education","YES","Lower Middle Class to Poor"
54,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor"
80,"Male","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
37,"Female","Quebec","Some Education","YES","Middle Class"
27,"Female","Nova Scotia",NA,"YES","Lower Middle Class to Poor"
69,"Male","Quebec","Highly Educated","YES","Middle Class"
54,"Female","Prince Edward Island","Limited Education","YES","Lower Middle Class to Poor"
63,"Male","British Columbia","Some Education","YES","Upper Middle Class to Wealthy"
34,"Male","Prince Edward Island","Highly Educated","YES","Middle Class"
36,"Male","Quebec","Some Education","YES",NA
80,"Female","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
69,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
27,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
61,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
52,"Female","Ontario","Some Education","YES","Middle Class"
62,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
48,"Female","Prince Edward Island",NA,"YES",NA
47,"Male","Ontario",NA,"YES","Middle Class"
54,"Female","Ontario","Some Education","YES","Middle Class"
69,"Female","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
45,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
51,"Male","New Brunswick","Highly Educated","YES","Middle Class"
71,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
61,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
53,"Female","Alberta",NA,"NO","Lower Middle Class to Poor"
34,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
72,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
80,"Female","Alberta","Limited Education","YES","Lower Middle Class to Poor"
66,"Female","Nova Scotia","Some Education","NO","Lower Middle Class to Poor"
62,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
37,"Female","Manitoba",NA,"YES","Lower Middle Class to Poor"
